,,,ALC007,ALC008,ALC009A,ALC009B,ALC010,ALC12A,ALC12B,ALC13,ALC15/16,ALC24,ALC27
Analytes (pg g^-1),Blank,Control,AL1,AL2,AL3A,AL3B,AL4,AL5A,AL5B,AL6,AL8,AL14,AL16
PFBA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFPeA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFHxA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFHpA,0,0,0,0,0,0,0,0,0,0,0,0,0
L-PFOA,0,0,0,0,0,0,0,0,0,0,0,0,0
Br-PFOA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFNA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFDA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFUnDA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFDoDA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFTrDA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFTeDA,0,0,0,0,0,0,0,0,0,0,0,0,0
PFBS,0,0,0,0,0,0,0,0,0,0,0,0,0
L-PFHxS,0,0,0,0,0,0,0,0,0,0,0,0,0
Br-PFHxS,0,0,0,0,0,0,0,0,0,0,0,0,0
L-PFOS,0,0,226,0,0,0,0,0,0,322,230,0,0
Br-PFOS,0,0,0,0,0,0,0,0,0,657,0,0,0
PFDS,0,0,0,0,0,0,0,0,0,0,0,0,0
Br-PFDS,0,0,0,0,0,0,0,0,0,0,0,0,0
L-FOSA,0,0,0,0,0,0,0,0,128,0,141,0,0
Br-FOSA,0,0,0,0,0,0,0,0,0,0,0,0,0
L-FOSAA,0,0,0,0,0,0,0,0,0,0,0,0,0
Br-FOSAA,0,0,0,0,0,0,0,0,0,0,0,0,0
L-EtFOSA,0,0,0,0,0,0,0,0,0,0,0,0,0
Br-EtFOSA,0,0,0,0,0,0,0,0,0,0,0,0,0
EtFOSAA,0,0,0,0,0,0,0,0,0,0,0,0,0
Br-EtFOSAA,0,0,0,0,0,0,0,0,0,0,0,0,0
